t,u_0,u_1,u_0_pred,u_1_pred,du0_dt,du1_dt
0.0,1.0,0.0,0.98954165,0.011497647,-10.033285,7.4465046
0.025,0.7408,0.1994,0.7387095,0.19766027,-8.223452,5.5066404
0.05,0.5882,0.2808,0.5783691,0.28682968,-5.2675056,2.38702
0.075,0.4878,0.3075,0.47533423,0.31701127,-3.450706,0.57190895
0.1,0.4167,0.3067,0.40583378,0.31542513,-2.3940647,-0.37275672
0.125,0.3636,0.2921,0.355631,0.29837343,-1.7792594,-0.8125913
0.15,0.3226,0.2709,0.3168708,0.27479556,-1.4054608,-0.9805274
0.175,0.2899,0.2471,0.28535795,0.24934706,-1.1604238,-1.0089087
0.2,0.2632,0.223,0.25884962,0.22435012,-0.9850836,-0.9690708
0.225,0.241,0.1998,0.23610377,0.20089352,-0.8493233,-0.8985317
0.25,0.2222,0.1781,0.21638346,0.17942354,-0.7403485,-0.8170666
0.3,0.1923,0.1403,0.18421245,0.14274347,-0.56700706,-0.65698
0.35,0.1695,0.11,0.15968275,0.11372554,-0.4327762,-0.5168435
0.4,0.1515,0.0864,0.14093482,0.09105912,-0.3317511,-0.4029566
0.45,0.137,0.0681,0.12650764,0.07342988,-0.25687814,-0.31347305
0.5,0.125,0.0541,0.11524701,0.059711814,-0.2024579,-0.24432808
0.55,0.1149,0.0433,0.10626185,0.048997074,-0.16529877,-0.19317786
0.65,0.099,0.0287,0.09261286,0.033902675,-0.12087226,-0.123770535
0.75,0.0869,0.0199,0.0820874,0.024242967,-0.0984782,-0.08064911
0.85,0.0775,0.0144,0.07291722,0.017772853,-0.089123845,-0.055154413
0.95,0.0699,0.0109,0.06426263,0.013212085,-0.086545944,-0.045607686
