t,u_0,u_1,u_0_pred,u_1_pred,du0_dt,du1_dt
0.0,1.0,-0.0,1.0007765,0.0033237785,-3.308473,2.6342292
0.1,0.6703200460356392,0.28199269858431464,0.6699292,0.2667467,-2.7844858,1.9469205
0.2,0.44932896411722156,0.3979306879072193,0.44387937,0.39270788,-1.8623394,0.7741082
0.3,0.3011942119122021,0.42150179131358834,0.29746133,0.42156833,-1.2111685,0.025130808
0.4,0.20189651799465538,0.39719077567018657,0.20164567,0.39773405,-0.80372214,-0.3527075
0.5,0.13533528323661267,0.3511795076472686,0.1367169,0.35102683,-0.55075336,-0.4993868
0.6,0.09071795328941253,0.29832373972869614,0.09149501,0.2978567,-0.38405,-0.523785
0.7,0.06081006262521798,0.24658546251105593,0.0599069,0.24626984,-0.26502624,-0.49044183
0.8,0.040762203978366204,0.19982299724418512,0.03848976,0.19976832,-0.17435253,-0.43367416
0.9,0.02732372244729256,0.15952716116982874,0.025036395,0.159535,-0.10270238,-0.37073076
1.0,0.01831563888873418,0.12588571791651904,0.017949283,0.12562217,-0.070871115,-0.33912838
